color_palette,model,scenario,scenario_category,SSP,scenario_model,model1,model2,model3,model4,color_model,shape_model,scenario1,color_scenario,ar6_database,color_ar6,marker_model,marker_scenario,region5,region10,year1,year2,filter_variable,GHG,color_GHG,CDR,color_CDR,prm,color_prm,land,color_land,CDR2,color_CDR2,CDR3,Literature,shape_literature
#4DAF4A,AIM 3.0,SSP3 - High Emissions,H,SSP3,AIM_SSP3_H,AIM 3.0,AIM,A,AIM,#1F77B4FF,0,H,#800000,C1,grey,REMIND-MAgPIE,SSP3_H,Asia (R5),Africa (R10),2020,2020,^Emissions,Non CO2,#AAAAAA,Other Novel,#FF7F00,Primary Energy|Non-Biomass Renewables,#377EB8,Land Cover|Forest[change from 2020],#9DAF4A,Carbon Removal|Ocean,#377EB8,Ocean Alkalinization,IEA_report,8
#377EB8,AIM 3.0,SSP5 - High Emissions,H,SSP5,AIM_SSP2_M,COFFEE 1.6,COFFEE,C,COFFEE,#FF7F0EFF,1,M,#ff0000,C2,grey,AIM,SSP2_M,Latin America (R5),China+ (R10),2030,2025,^Carbon,AFOLU,#4DAF4A,DACCS,#E41A1C,Primary Energy|Biomass,#47BEC8,Land Cover|Forest|Natural[change from 2020],#4DAF4A,Carbon Removal|Geological Storage|Synthetic Fuels,#D65628,Synfuels with CCS,IEA_gr20_from2020,9
#E41A1C,AIM 3.0,SSP2 - High-Low Emissions,HL,SSP2,AIM_SSP2_ML,GCAM 8s,GCAM,G,GCAM,#2CA02CFF,2,HL,#c87820,C3,grey,MESSAGEix-GLOBIOM,SSP5_HL,Middle East & Africa (R5),Europe (R10),2040,2030,^Water,Energy,#E41A1C,BECCS,#EFC722,Primary Energy|Nuclear,#E48AAC,Land Cover|Forest|Planted|Natural[change from 2020],#B3DE69,Carbon Removal|Land Use|Biochar,#9DAF4A,Biochar,IEA_gr20_from2030,10
#FF7F00,AIM 3.0,SSP2 - Medium Emissions,M,SSP2,AIM_SSP2_L,IMAGE 3.4,IMAGE,I,IMAGE,#D62728FF,3,ML,#d3a640,C4,grey,COFFEE,SSP2_ML,OECD & EU (R5),India+ (R10),2050,2035,^Land,Waste,#B66638,Other Conventional,#1D6F4A,Primary Energy|Fossil,#E41A1C,Land Cover|Forest|Planted|Plantation[change from 2020],#D65628,Carbon Removal|Enhanced Weathering,#FF7F00,Enhanced Weathering,Kazlou_et_al,11
#B3DE69,AIM 3.0,SSP1 - Medium Emissions,M,SSP1,AIM_SSP1_VL,MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,MESSAGEix-GLOBIOM,M,MESSAGEix,#9467BDFF,4,L,#098740,C5,grey,IMAGE,SSP2_L,Reforming Economies (R5),Latin America (R10),2060,2040,^Gross,Industrial Processes,#FF7F00,Re/Afforestation,#4DAF4A,,,Land Cover|Other Natural[change from 2020],#EFC722,Carbon Removal|Geological Storage|Direct Air Capture,#E41A1C,Direct Air Capture with CCS,Warszawski_et_al,12
#A65628,AIM 3.0,SSP2 - Medium-Low Emissions,ML,SSP2,AIM_SSP2_LN,REMIND-MAgPIE 3.5-4.11,REMIND-MAgPIE,R,REMIND,#8C564BFF,5,VL,#0080d0,C6,grey,GCAM,SSP1_VL,,Middle East (R10),2070,2045,^Food Availability,CO2 Removals,#377EB8,,,,,Land Cover|Pasture[change from 2020],#E41A1C,Carbon Removal|Geological Storage|Bioenergy,#EFC722,Bioenergy with CCS,Grant_et_al,13
#F781BF,AIM 3.0,SSP2 - Low Emissions,L,SSP2,COFFEE_SSP2_LN,WITCH 6.0,WITCH,W,WITCH,#E377C2FF,7,LN,#100060,C7,grey,WITCH,SSP2_LN,,North America (R10),2080,2050,^Primary Energy,,,,,,,Land Cover|Cropland|Non-Energy Crops[change from 2020],#377EB8,Carbon Removal|Geological Storage|Biomass,#EFC722,Bioenergy with CCS,Zhang_et_al,14
#984EA3,AIM 3.0,SSP2 - Low Overshoot_a,LN,SSP2,GCAM_SSP2_LN,,,,,,,,,C8,grey,,,,Pacific OECD (R10),2090,2055,^Price,,,,,,,Land Cover|Cropland|Energy Crops[change from 2020],#47BEC8,Carbon Removal|Land Use|Agroforestry,#80B1D3,Agroforestry,,
#FB8072,AIM 3.0,SSP1 - Very Low Emissions,VL,SSP1,IMAGE_SSP1_LN,,,,,,,,,,,,,,Reforming Economies (R10),2100,2060,^Consumption,,,,,,,,,Carbon Removal|Land Use|Soil Carbon Management,#FB8072,Soil Carbon Management,,
#80B1D3,AIM 3.0,SSP2 - Very Low Emissions,VL,SSP2,IMAGE_SSP2_LN,,,,,,,,,,,,,,Rest of Asia (R10),,2065,^Final Energy,,,,,,,,,Carbon Removal|Land Use|Forest Management,#1D6F4A,Forest Management,,
#FDB462,COFFEE 1.6,SSP3 - High Emissions,H,SSP3,MESSAGEix-GLOBIOM_SSP2_LN,,,,,,,,,,,,,,Other (R10),,2070,^Agricultural,,,,,,,,,Carbon Removal|Land Use|Re/Afforestation,#4DAF4A,Re/Afforestation,,
#8DD3C7,COFFEE 1.6,SSP2 - High-Low Emissions,HL,SSP2,MESSAGEix-GLOBIOM_SSP4_LN,,,,,,,,,,,,,,,,2075,^Secondary Energy,,,,,,,,,Carbon Removal|Long-Lived Materials,#FCCDE5,Long-Lived Materials,,
#FCCDE5,COFFEE 1.6,SSP2 - Medium Emissions,M,SSP2,MESSAGEix-GLOBIOM_SSP5_LN,,,,,,,,,,,,,,,,2080,^Carbon Sequestration,,,,,,,,,Carbon Removal|Land Use|Other,#888888,Other,,
#D9D9D9,COFFEE 1.6,SSP2 - Medium-Low Emissions,ML,SSP2,REMIND-MAgPIE_SSP2_LN,,,,,,,,,,,,,,,,2085,^AR6 climate diagnostics,,,,,,,,,,,,,
#BC80BD,COFFEE 1.6,SSP2 - Low Emissions,L,SSP2,WITCH_SSP1_LN,,,,,,,,,,,,,,,,2090,^GDP,,,,,,,,,,,,,
#CCEBC5,COFFEE 1.6,SSP2 - Low Overshoot,LN,SSP2,WITCH_SSP2_LN,,,,,,,,,,,,,,,,2095,^Fertilizer Use,,,,,,,,,,,,,
#FFED6F,COFFEE 1.6,SSP2 - Very Low Emissions,VL,SSP2,,,,,,,,,,,,,,,,,2100,^Terrestrial\ Biodiversity,,,,,,,,,,,,,
black,GCAM 8s,SSP3 - High Emissions,H,SSP3,,,,,,,,,,,,,,,,,,^Population,,,,,,,,,,,,,
orangered3,GCAM 8s,SSP5 - High Emissions,H,SSP5,,,,,,,,,,,,,,,,,,^Consumption,,,,,,,,,,,,,
orange,GCAM 8s,SSP2 - High-Low Emissions,HL,SSP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mediumblue,GCAM 8s,SSP2 - Medium Emissions,M,SSP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darkgreen,GCAM 8s,SSP2 - Medium-Low Emissions,ML,SSP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple,GCAM 8s,SSP2 - Low Emissions,L,SSP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
