cdr,cdr_type,cdr_type3,cdr7,cdr_type2,cdr1,cdr2,cdr3,cdr4,cdr5,cdr6,cdr8,cdr9,cdr10,ghg,ghg_type,ghg1,emi,emi2,emi3,emi4,emi5,emi6,sco,sco2,sco3,sco4,sco5,finene1,finene2,sector,food,prmene,land1,land2,land3,land4,land5,land6,land7,land8,land9,geo1,sdg1,sdg_thr,sdg2,sdg3,sdg4,sdg5,sdg6,sdg7,sdg8,cdr_impact1,cdr_impact2,cdr_impact3,cdr_impact4,cdr_impact5,cdr_impact6
Carbon Removal|Land Use|Re/Afforestation,Carbon Removal|Conventional,Re/Afforestation,Carbon Removal|Land Use|Re/Afforestation,Carbon Removal|Land Use,Carbon Removal|Conventional,Carbon Removal|Land Use,Carbon Sequestration|Land Use,Carbon Sequestration|CCS|Biomass,Gross Emissions|CO2,Gross Emissions|CO2,Other Novel,Carbon Removal|Land Use|Agroforestry,Carbon Removal|Ocean,Emissions|Kyoto Gases,Net GHG,Non CO2,Emissions|Kyoto Gases,Emissions|Kyoto Gases,Emissions|Kyoto Gases,Emissions|CO2,Emissions|CO2,Emissions|Kyoto Gases,Population,Population,Food Availability|Crops [per capita][2020=1],Final Energy [per capita][2020=1],Food Availability|Crops [per capita][2020=1],Final Energy|Residential and Commercial [per capita],Final Energy|Residential and Commercial,Residential and Commercial,Food Availability|Crops [per capita],Primary Energy|Biomass,Land Cover|Built-Up Area,Land Cover|Cropland|Cereals,Land Cover|Cropland|Non-Energy Crops,Land Cover|Cropland|Energy Crops,Land Cover|Other Natural[change from 2020],Land Cover|Cropland|Energy Crops[2020=1],Land Cover|Forest|Afforestation and Reforestation,Land Cover|Other Natural[change from 2020],Land Cover|Other Natural[change from 2020],Carbon Capture|Geological Storage|cumulative,Terrestrial Biodiversity|Biodiversity Intactness Index[2020=1],1,Terrestrial Biodiversity|Biodiversity Intactness Index[2020=1],Terrestrial Biodiversity|Biodiversity Intactness Index[2020=1],Carbon Capture|Geological Storage|cumulative,Terrestrial Biodiversity|Biodiversity Intactness Index[2020=1],Loss of BII,Carbon Capture|Geological Storage|cumulative,Geological storage utilization rate [-],Land Cover|Cropland|Energy Crops|CDR,CDRImpact|Land Cover|BECCS,Land Cover,BECCS,Land Cover,Land Cover Change
Carbon Removal|Land Use|Agroforestry,Carbon Removal|Conventional,Other Conventional,Carbon Removal|Land Use|Agroforestry,Carbon Removal|Land Use,Carbon Removal|Novel,Carbon Removal|Geological Storage|Biomass,Carbon Sequestration|Geological Storage|Biomass,Carbon Sequestration|Land Use,CDR-GrossCO2,CDR-GrossCO2,DACCS,Carbon Removal|Land Use|Forest Management,Carbon Removal|Geological Storage|Synthetic Fuels,Emissions|CO2,Net CO2,AFOLU,Gross Emissions|CO2,Gross Emissions|CO2,Emissions|Kyoto Gases|cumulative,Gross Emissions|CO2|Energy and Industrial Processes,Gross Emissions|CO2|Energy and Industrial Processes,Carbon Removal|Land Use,Food Availability|Crops [per capita][2020=1],GDP|PPP,Food Availability|Livestock [per capita][2020=1],Primary Energy|Fossil,Food Availability|Livestock [per capita][2020=1],Final Energy|Transportation [per capita],Final Energy|Transportation,Transportation,Food Availability|Livestock [per capita],Primary Energy|Non-Biomass Renewables,Land Cover|Cropland,Land Cover|Cropland|Oil Crops,Land Cover|Cropland|Non-Energy Crops,Land Cover|Cropland|Non-Energy Crops[2020=1],Land Cover|Forest|Natural[change from 2020],Land Cover|Cropland|Non-Energy Crops[2020=1],,Land Cover|Forest|Natural[change from 2020],Land Cover|Forest[change from 2020],Carbon Capture|Geological Storage,Fertilizer Use|Nitrogen[2020=1],,Primary Energy|Biomass,Price|Agriculture|Food Products [Index],Final Energy [per capita],Fertilizer Use|Nitrogen[2020=1],Nitrogen fertilizer,Final Energy[2020=1],Finale Energy[2020=1],Land Cover|Forest|Planted|Plantation|Re/Afforestation[change from 2020],CDRImpact|Land Cover|Re/Afforestation,Land Cover,Re/Afforestation,Final Energy,Final Energy[change from 2020]
Carbon Removal|Land Use|Forest Management,Carbon Removal|Conventional,Other Conventional,Carbon Removal|Land Use|Biochar,Carbon Removal|Land Use,Carbon Removal|Conventional+Novel,Carbon Removal|Geological Storage|Direct Air Capture,Carbon Sequestration|Geological Storage|Direct Air Capture,Carbon Sequestration|Direct Air Capture,Land Use/CDR,,BECCS,Carbon Removal|Land Use|Soil Carbon Management,Carbon Removal|Land Use|Biochar,Emissions|Non CO2,Non CO2,Waste,Gross Removals|CO2,Gross Removals|CO2,Emissions|CH4,Carbon Removal,Carbon Removal,Carbon Removal|NonLand,Food Availability|Livestock [per capita][2020=1],Food Availability|Crops [per capita][2020=1],Final Energy [per capita][2020=1],Primary Energy|Non-Biomass Renewables,Final Energy [per capita][2020=1],Final Energy|Bunkers [per capita],Final Energy|Bunkers,Bunkers,,Primary Energy|Nuclear,Land Cover|Forest,Land Cover|Cropland|Other Crops,Land Cover|Cropland|Non-Energy Crops,Land Cover|Pasture[2020=1],Land Cover|Forest|Planted|Plantation[change from 2020],Land Cover|Pasture[2020=1],,Land Cover|Forest|Planted|Natural[change from 2020],Land Cover|Pasture[change from 2020],,Primary Energy|Biomass,100,Population|Risk of Hunger[2020=1],Population|Risk of Hunger[2020=1],Price|Agriculture|Food Products [Index],Carbon Capture|Geological Storage|cumulative,Geological storage,Price|Secondary Energy|Electricity[2020=1],Electricity price [2020=1],Land Cover|Forest|Planted|Natural|Re/Afforestation[change from 2020],CDRImpact|Land Cover|Re/Afforestation,Land Cover,Re/Afforestation,Geological Storage,Carbon Capture|Geological Storage
Carbon Removal|Land Use|Soil Carbon Management,Carbon Removal|Conventional,Other Conventional,Carbon Removal|Land Use|Forest Management,Carbon Removal|Land Use,Carbon Removal|Conventional|cumulative,Carbon Removal|Geological Storage|Synthetic Fuels,Carbon Sequestration|Geological Storage|Synthetic Fuels,Carbon Sequestration|Enhanced Weathering,Storage/CDR,,Other Conventional,Carbon Removal|Long-Lived Materials,Carbon Removal|Enhanced Weathering,Gross Emissions|CO2|AFOLU,AFOLU,Energy,Emissions|CH4,,Emissions|CH4|cumulative,Emissions|CO2|cumulative,,,,Food Availability|Livestock [per capita][2020=1],Primary Energy|Fossil,Electricity share,,Final Energy|Industry [per capita],Final Energy|Industry,Industry,,Primary Energy|Fossil,Land Cover|Other Natural,Land Cover|Cropland|Sugar Crops,Land Cover|Cropland|Non-Energy Crops,Land Cover|Forest and Other Natural[2020=1],Land Cover|Pasture[change from 2020],Land Cover|Forest|Planted[2020=1],,Land Cover|Forest|Planted|Plantation[change from 2020],Land Cover|Cropland|Non-Energy Crops[change from 2020],,Price|Agriculture|Food Products [Index],,Land Cover|Forest and Other Natural[change from 2020],,Land Cover|Cropland[2020=1],Primary Energy|Biomass,Biomass supply,Price|Agriculture|Food Products [Index][2020=1],Food price [2020=1],Final Energy|Carbon Management|Direct Air Capture,CDRImpact|Final Energy|DACCS,Final Energy,DACCS,,
Carbon Removal|Land Use|Other,Carbon Removal|Conventional,Other Conventional,Carbon Removal|Land Use|Soil Carbon Management,Carbon Removal|Land Use,Carbon Removal|Novel|cumulative,Carbon Removal|Geological Storage|Bioenergy,Carbon Sequestration|Geological Storage|Bioenergy,Carbon Sequestration|Feedstocks,Energy/CDR,,Re/Afforestation,Carbon Removal|Land Use|Biochar,Carbon Removal|Geological Storage|Direct Air Capture,Emissions|CO2|Waste,Waste,Industrial Processes,Emissions|N2O,,Emissions|N2O,Gross Emissions|CO2|Energy and Industrial Processes|cumulative,,,,Final Energy [per capita],Primary Energy|Non-Biomass Renewables,,,Final Energy|Non-Energy Use [per capita],Final Energy|Non-Energy Use,Non-Energy Use,,,Land Cover|Pasture,Land Cover|Forest,Land Cover|Forest and Other Natural,,Land Cover|Cropland|Non-Energy Crops[change from 2020],Land Cover|Forest and Other Natural[2020=1],,Land Cover|Pasture[change from 2020],Land Cover|Cropland|Energy Crops[change from 2020],,Population|Risk of Hunger[2020=1],0,Land Cover|Cropland|Energy Crops[change from 2020],,Land Cover|Forest and Other Natural[2020=1],Price|Agriculture|Food Products [Index][2020=1],Food price,Population|Risk of Hunger[2020=1],Population at Risk of hunger [2020=1],Final Energy|Carbon Management|Enhanced Weathering,CDRImpact|Final Energy|Other Novel,Final Energy,Other Novel,,
Carbon Removal|Long-Lived Materials,Carbon Removal|Conventional,Other Conventional,Carbon Removal|Land Use|Other,Carbon Removal|Land Use,Carbon Removal|Conventional+Novel|cumulative,Carbon Removal|Enhanced Weathering,Carbon Sequestration|Enhanced Weathering,Carbon Sequestration|CCS,,,,Carbon Removal|Geological Storage|Synthetic Fuels,Carbon Removal|Geological Storage|Biomass,Gross Emissions|CO2|Energy,Energy,CO2 Removals,,,Emissions|N2O|cumulative,Carbon Removal|cumulative,,,,,Electricity share,,,Final Energy|Other Sector [per capita],Final Energy|Other Sector,Other Sector,,,,Land Cover|Other Natural,Land Cover|Forest and Other Natural,,Land Cover|Cropland|Energy Crops[change from 2020],,,Land Cover|Cropland|Non-Energy Crops[change from 2020],,,Final Energy|Carbon Management,,,,Terrestrial Biodiversity|Biodiversity Intactness Index[2020=1],Population|Risk of Hunger[2020=1],Risk of hunger,Terrestrial Biodiversity|Biodiversity Intactness Index[2020=1],Loss of BII [2020=1],Final Energy|Carbon Management|Ocean Alkalinity Enhancement,CDRImpact|Final Energy|Other Novel,Final Energy,Other Novel,,
Carbon Removal|Land Use|Biochar,Carbon Removal|Novel,Other Novel,Carbon Removal|Geological Storage|Biomass,Carbon Removal|NonLand,,Carbon Removal|Land Use|Re/Afforestation,Carbon Sequestration|Land Use|Re/Afforestation,,,,,Carbon Removal|Enhanced Weathering,Carbon Removal|Land Use|Agroforestry,Gross Emissions|CO2|Industrial Processes,Industrial Processes,,,,,,,,,,,,,Final Energy|Agriculture [per capita],Final Energy|Agriculture,Agriculture,,,,,,,,,,Land Cover|Cropland|Energy Crops[change from 2020],,,Price|Secondary Energy|Electricity[2020=1],,,,,Final Energy|Carbon Management,Energy use for CDR,,,Final Energy|Carbon Management|Biochar,CDRImpact|Final Energy|Other Novel,Final Energy,Other Novel,,
Carbon Removal|Geological Storage|Biomass,Carbon Removal|Novel,BECCS,Carbon Removal|Geological Storage|Bioenergy,Carbon Removal|NonLand,,Carbon Removal|Land Use|Biochar,Carbon Sequestration|Land Use|Biochar,,,,,Carbon Removal|Ocean,Carbon Removal|Land Use|Soil Carbon Management,Gross Removals|CO2,CO2 Removals,,,,,,,,,,,,,Final Energy|Carbon Management [per capita],Final Energy|Carbon Management,Carbon Management,,,,,,,,,,,,,Carbon Capture|Geological Storage|cumulative,1445,,,,Price|Secondary Energy|Electricity[2020=1],Electricity price,,,Final Energy|Carbon Management|Direct Ocean Capture,CDRImpact|Final Energy|Other Novel,Final Energy,Other Novel,,
Carbon Removal|Geological Storage|Bioenergy,Carbon Removal|Novel,BECCS,Carbon Removal|Geological Storage|Direct Air Capture,Carbon Removal|NonLand,,Carbon Removal|Land Use|Soil Carbon Management,Carbon Sequestration|Land Use|Soil Carbon Management,,,,,,Carbon Removal|Land Use|Forest Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbon Removal|Geological Storage|Synthetic Fuels,CDRImpact|Geological Storage|Other Novel,Geological Storage,Other Novel,,
Carbon Removal|Geological Storage|Direct Air Capture,Carbon Removal|Novel,DACCS,Carbon Removal|Geological Storage|Synthetic Fuels,Carbon Removal|NonLand,,Carbon Removal|Land Use|Forest Management,Carbon Sequestration|Land Use|Forest Management,,,,,,Carbon Removal|Land Use|Re/Afforestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbon Removal|Geological Storage|Biomass,CDRImpact|Geological Storage|BECCS,Geological Storage,BECCS,,
