GHG,CO2_sector,CDR_CCS,CDR,primary_energy,final_energy_sector,final_energy_source,agricultural_production,land_cover,air_pollutant,air_pollutant_energy,air_pollutant_energy_ratio,economic_impact,food,sdg
Emissions|Kyoto Gases,Emissions|CO2|Industrial Processes,Carbon Removal,Carbon Removal|Geological Storage|Direct Air Capture,Primary Energy|Geothermal,Final Energy|Agriculture,Final Energy|Electricity,Agricultural Production|Crops|Cereals,Land Cover|Built-Up Area[change from 2020],Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy/total,Price|Carbon,Food Availability [per capita],Terrestrial Biodiversity|Biodiversity Intactness Index[2020=1]
Emissions|CO2,Emissions|CO2|Energy|Supply,Carbon Removal|cumulative,Carbon Removal|Geological Storage|Synthetic Fuels,Primary Energy|Hydro,Final Energy|Residential and Commercial,Final Energy|Heat,Agricultural Production|Crops|Energy Crops,Land Cover|Cropland|Cereals[change from 2020],Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy/total,GDP change from SSP2_M,Food Availability|Livestock [per capita],Fertilizer Use|Nitrogen[2020=1]
Emissions|CH4,Emissions|CO2|Energy|Demand|Transportation,Carbon Capture|Geological Storage,Carbon Removal|Geological Storage|Biomass,Primary Energy|Solar,Final Energy|Transportation,Final Energy|Hydrogen,Agricultural Production|Crops|Oil Crops,Land Cover|Cropland|Energy Crops[change from 2020],Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy/total,Consumption change from SSP2_M,,Carbon Capture|Geological Storage|cumulative
Emissions|N2O,Emissions|CO2|Energy|Demand|Residential,Carbon Capture|Geological Storage|cumulative,Carbon Removal|Geological Storage|Bioenergy,Primary Energy|Wind,Final Energy|Bunkers,Final Energy|Gases,Agricultural Production|Crops|Sugar Crops,Land Cover|Cropland|Oil Crops[change from 2020],Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy/total,GDP change from 2020|discount rate 3%,,Primary Energy|Biomass
Surface Temperature (GSAT) 50th,Emissions|CO2|Energy|Demand|Industry,,Carbon Removal|Enhanced Weathering,Primary Energy|Biomass|w/ CCS,Final Energy|Industry,Final Energy|Liquids,Agricultural Production|Livestock,Land Cover|Cropland|Other Crops[change from 2020],Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy/total,Consumption change from 2020|discount rate 3%,,Price|Agriculture|Food Products [Index][2020=1]
,Emissions|CO2|Energy|Demand|Commercial,,Carbon Removal|Land Use|Re/Afforestation,Primary Energy|Biomass|w/o CCS,Final Energy|Non-Energy Use,Final Energy|Solids,,Land Cover|Cropland|Sugar Crops[change from 2020],Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy/total,,,Population|Risk of Hunger[2020=1]
,Emissions|CO2|Energy|Demand|Other Sector,,Carbon Removal|Land Use|Biochar,Primary Energy|Nuclear,Final Energy|Other Sector,Final Energy|Geothermal,,Land Cover|Forest|Planted[change from 2020],Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy/total,,,Final Energy|Carbon Management
,Emissions|CO2|Energy|Demand|AFOFI,,Carbon Removal|Land Use|Soil Carbon Management,Primary Energy|Gas|w/ CCS,Final Energy|Carbon Management,Final Energy|Solar,,Land Cover|Forest|Primary[change from 2020],,,,,,Price|Secondary Energy|Electricity[2020=1]
,Emissions|CO2|AFOLU|Agriculture,,Carbon Removal|Land Use|Forest Management,Primary Energy|Gas|w/o CCS,,,,Land Cover|Forest|Secondary[change from 2020],,,,,,
,Emissions|CO2|AFOLU|Land,,Carbon Removal|Land Use|Agroforestry,Primary Energy|Oil|w/ CCS,,,,Land Cover|Other Land[change from 2020],,,,,,
,Emissions|CO2|Other Capture and Removal,,Carbon Removal|Land Use|Other,Primary Energy|Oil|w/o CCS,,,,Land Cover|Other Natural[change from 2020],,,,,,
,Emissions|CO2|Other,,Carbon Removal|Long-Lived Materials,Primary Energy|Coal|w/ CCS,,,,Land Cover|Pasture[change from 2020],,,,,,
,,,Carbon Removal|Ocean,Primary Energy|Coal|w/o CCS,,,,,,,,,,
,,,,Primary Energy|Other,,,,,,,,,,
